epoch,phase,loss,acc,f1,macro_f1,auc,gt1,gt2,gt3
0,train,0.5413,0.8028,0.0331,0.5048,0.6111,0.1004,0.1155,0.1247
1,train,0.3971,0.8128,0.0676,0.5796,0.7685,0.1448,0.1610,0.1689
2,train,0.3714,0.8223,0.2628,0.6343,0.8117,0.3219,0.3662,0.3901
3,train,0.3466,0.8396,0.4194,0.6903,0.8428,0.4735,0.5282,0.5588
4,train,0.3320,0.8477,0.4598,0.7100,0.8583,0.4987,0.5484,0.5764
5,train,0.3220,0.8540,0.4943,0.7253,0.8677,0.5327,0.5786,0.6037
6,train,0.3078,0.8580,0.5345,0.7382,0.8803,0.5820,0.6363,0.6650
7,train,0.2986,0.8628,0.5569,0.7490,0.8891,0.5962,0.6499,0.6785
8,train,0.2884,0.8677,0.5835,0.7608,0.8981,0.6198,0.6757,0.7055
9,train,0.2802,0.8724,0.6118,0.7730,0.9042,0.6476,0.7043,0.7344
10,train,0.2771,0.8748,0.6141,0.7762,0.9079,0.6430,0.6944,0.7211
11,train,0.2731,0.8770,0.6245,0.7812,0.9105,0.6605,0.7150,0.7438
12,train,0.2673,0.8782,0.6289,0.7835,0.9137,0.6567,0.7107,0.7401
13,train,0.2633,0.8800,0.6389,0.7880,0.9167,0.6732,0.7264,0.7548
14,train,0.2588,0.8846,0.6539,0.7967,0.9198,0.6852,0.7361,0.7627
15,train,0.2595,0.8825,0.6510,0.7938,0.9181,0.6827,0.7358,0.7644
16,train,0.2498,0.8862,0.6586,0.7995,0.9261,0.6881,0.7378,0.7640
17,train,0.2464,0.8887,0.6775,0.8073,0.9281,0.7169,0.7694,0.7979
18,train,0.2453,0.8911,0.6797,0.8101,0.9279,0.7116,0.7616,0.7873
19,train,0.2445,0.8885,0.6658,0.8038,0.9284,0.6948,0.7435,0.7689
20,train,0.2424,0.8892,0.6700,0.8055,0.9292,0.7083,0.7592,0.7855
21,train,0.2415,0.8913,0.6771,0.8096,0.9301,0.7085,0.7560,0.7810
22,train,0.2390,0.8911,0.6789,0.8098,0.9313,0.7089,0.7570,0.7829
23,train,0.2342,0.8948,0.6885,0.8161,0.9342,0.7297,0.7752,0.7989
24,train,0.2348,0.8919,0.6804,0.8111,0.9333,0.7249,0.7743,0.8000
25,train,0.2380,0.8924,0.6825,0.8121,0.9319,0.7167,0.7634,0.7885
26,train,0.2340,0.8917,0.6796,0.8106,0.9342,0.7171,0.7652,0.7908
27,train,0.2320,0.8935,0.6837,0.8135,0.9350,0.7196,0.7665,0.7910
28,train,0.2288,0.8964,0.6967,0.8199,0.9369,0.7385,0.7830,0.8069
29,train,0.2281,0.8985,0.7002,0.8230,0.9382,0.7285,0.7719,0.7951
0,eval,0.4008,0.8076,0.0000,0.4468,0.7669,0.0857,0.0857,0.0857
1,eval,0.3658,0.8157,0.2532,0.6273,0.8244,0.3482,0.4013,0.4268
2,eval,0.3476,0.8371,0.3966,0.6895,0.8535,0.4521,0.4919,0.5119
3,eval,0.3288,0.8397,0.4144,0.6963,0.8637,0.4578,0.4997,0.5206
4,eval,0.3120,0.8473,0.4854,0.7182,0.8779,0.5211,0.5712,0.5948
5,eval,0.3055,0.8554,0.5504,0.7417,0.8863,0.5826,0.6454,0.6779
6,eval,0.2981,0.8609,0.5885,0.7574,0.8964,0.6254,0.6876,0.7192
7,eval,0.2928,0.8583,0.6370,0.7745,0.9037,0.6510,0.7332,0.7796
8,eval,0.2834,0.8655,0.6359,0.7772,0.9076,0.6593,0.7368,0.7764
9,eval,0.2831,0.8632,0.6243,0.7712,0.9075,0.6481,0.7231,0.7616
10,eval,0.2753,0.8638,0.6253,0.7720,0.9106,0.6717,0.7472,0.7859
11,eval,0.2786,0.8724,0.6266,0.7792,0.9102,0.6460,0.7018,0.7313
12,eval,0.2706,0.8747,0.6582,0.7915,0.9152,0.6795,0.7426,0.7758
13,eval,0.2668,0.8750,0.6430,0.7864,0.9184,0.6651,0.7273,0.7579
14,eval,0.2837,0.8623,0.6662,0.7911,0.9133,0.6751,0.7590,0.8037
15,eval,0.2663,0.8724,0.6525,0.7878,0.9164,0.6872,0.7529,0.7871
16,eval,0.2696,0.8710,0.6711,0.7955,0.9185,0.7036,0.7791,0.8205
17,eval,0.2645,0.8724,0.6600,0.7909,0.9188,0.6809,0.7503,0.7868
18,eval,0.2590,0.8791,0.6760,0.8011,0.9235,0.7019,0.7694,0.8056
19,eval,0.2687,0.8753,0.6620,0.7933,0.9184,0.6924,0.7529,0.7845
20,eval,0.2723,0.8721,0.6774,0.7991,0.9190,0.6842,0.7628,0.8024
21,eval,0.2687,0.8724,0.6697,0.7953,0.9193,0.7088,0.7841,0.8230
22,eval,0.2676,0.8797,0.6481,0.7921,0.9177,0.6751,0.7242,0.7484
23,eval,0.2698,0.8756,0.6777,0.8003,0.9174,0.7116,0.7831,0.8194
24,eval,0.2678,0.8716,0.6585,0.7898,0.9201,0.6898,0.7621,0.8003
25,eval,0.2732,0.8721,0.6716,0.7962,0.9187,0.6974,0.7690,0.8055
26,eval,0.2642,0.8785,0.6719,0.7991,0.9196,0.7079,0.7765,0.8102
27,eval,0.2675,0.8823,0.6857,0.8069,0.9221,0.7324,0.7944,0.8275
28,eval,0.2621,0.8794,0.6809,0.8034,0.9215,0.7160,0.7824,0.8164
29,eval,0.2602,0.8794,0.6755,0.8011,0.9223,0.7086,0.7720,0.8039
